score,reason,province,name_a,city_a,sources_a,name_b,city_b,sources_b,evidence_b,decision,reviewer,notes
0.333,same-name-different-city,Saskatchewan,Humboldt Heat,Humboldt,census-2026-07,Houndsville Hoops,Saskatoon,census-2026-07,https://www.basketballsask.com/member-organizations/currentmembers,distinct,auto-rule,both are census municipalities (Humboldt / Saskatoon); kept separate - override if they are one club
0.318,same-name-different-city,Quebec,Granby Multi-Sports (basketball programming),Granby,census-2026-07,Gilas Montréal Basketball,Montréal,census-2026-07,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/montreal.html,distinct,auto-rule,both are census municipalities (Granby / Montréal); kept separate - override if they are one club
0.31,same-name-different-city,Quebec,Club de basketball Révolution des Laurentides,Terrebonne / Rosemère,census-2026-07,Dropoff Elite,Montreal,ontario-circuit-list,,,,
0.308,same-name-different-city,British Columbia,BC Bounce,Abbotsford,census-2026-07,Beyond Basketball,Duncan (Cowichan Valley),census-2026-07,https://ladysmithchronicle.com/2026/01/22/beyond-basketball-looks-to-level-the-court-for-cowichan-valley-girls/,distinct,auto-rule,both are census municipalities (Abbotsford / Duncan (Cowichan Valley)); kept separate - override if they are one club
0.303,same-name-different-city,Quebec,ByFar Sports (Qulture Basket),Québec City,census-2026-07,Basketball Sherbrooke,Sherbrooke,census-2026-07,Basketball Québec regional registry PDFs (mined 2026-07-18),,,
0.296,same-name-different-city,Ontario,North Region Basketball Association (NRBA),Toronto (GTA-wide),"census-2026-07,community-sweep,oba-kml",NRBA,Niagara,ontario-circuit-list,,,,
0.294,same-name-different-city,Alberta,Brodie Rec (Calgary North),Calgary,census-2026-07,Big Rock Basketball Club,Okotoks,census-2026-07,https://bigrockbball.ca,distinct,auto-rule,both are census municipalities (Calgary / Okotoks); kept separate - override if they are one club
0.286,same-name-different-city,British Columbia,Surrey Hornets,Surrey,census-2026-07,School of Handles Basketball,Vancouver,census-2026-07,https://basketball604.com/basketball-clubs/,distinct,auto-rule,both are census municipalities (Surrey / Vancouver); kept separate - override if they are one club
0.286,same-name-different-city,British Columbia,SM Prep,Penticton,census-2026-07,Smith Performance Basketball,Vancouver Island,census-2026-07,https://smithperformancebasketball.com/,,,
0.276,same-name-different-city,Quebec,Sphère Basketball,Montréal,census-2026-07,SSF Blizzard (Séminaire Saint-François),Saint-Augustin-de-Desmaures,ontario-circuit-list,,distinct,auto-rule,both are census municipalities (Montréal / Saint-Augustin-de-Desmaures); kept separate - override if they are one club
0.261,same-name-different-city,Quebec,Hoops Lab Elite,Drummondville,census-2026-07,Le L.A.B. (Espace Le LAB),Shawinigan,census-2026-07,https://www.espacelelab.ca/,distinct,auto-rule,both are census municipalities (Drummondville / Shawinigan); kept separate - override if they are one club
0.25,same-name-different-city,Quebec,École de mini-basketball de Québec (EMBQ),Québec City (Lac-Beauport),census-2026-07,Prédateurs NDL (Collège Notre-Dame-de-Lourdes),Longueuil QC,contact-enrichment,,,,
0.245,same-name-different-city,Alberta,FCBA Blizzards (Filipino-Canadian Basketball Association),Calgary,census-2026-07,Foothills County Basketball Academy,Okotoks,census-2026-07,https://www.aybc.ca/2020-club-members-1/foothills-county-basketball-academy,distinct,auto-rule,both are census municipalities (Calgary / Okotoks); kept separate - override if they are one club
0.204,same-name-different-city,Ontario,Next Level Basketball (NextLevel Sports Academy / Cowichan Valley Basketball),Duncan,census-2026-07,No Limits Youth Organization (Basketball),Quinte/Belleville area,community-sweep,https://nolimitsyouth.ca/basketball/,,,
0.188,same-name-different-city,Ontario,Gwillimbury Basketball United,East Gwillimbury,census-2026-07,GBU (Gwillimbury Basketball United),E/W Gwillimbury–Newmarket,ontario-circuit-list,,,,
0.143,same-name-different-city,Manitoba,Niverville Community Youth Basketball (Niverville Recreation x WMBA),Niverville,census-2026-07,Steinbach Jr. Pilots,Steinbach,census-2026-07,https://www.wmba.ca/team/13441/506/7616/366710,distinct,auto-rule,both are census municipalities (Niverville / Steinbach); kept separate - override if they are one club
