candidate,province,leagues,team_entries,last_verified,source,closest_known_club,closest_score,evidence_url,decision,reviewer,notes
b){b=C(b);return b!==void 0?a.open(b,Ontario,OBL,2,,obl-teams,B.1.C.E Basketball,0.444,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
popupWindow,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
__Secure-1PAPISID,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
b){a.g&&clearInterval(a.g);for(var c={},Ontario,OBL,2,,obl-teams,B.1.C.E Basketball,0.486,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
L(g)!==void 0&&c !==L(g)){f=!0;break a}f=!1}f&&(clearInterval(a.g),Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
a.g=void 0,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Brown,Ontario,OBL,2,,obl-teams,KW Vipers,0.696,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BALL905 Mississauga,Ontario,OBL,2,,obl-teams,Ball905 Elite,0.562,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BALL905 Brampton,Ontario,OBL,2,,obl-teams,Ball905 Elite,0.621,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BALL905 Halton Hills,Ontario,OBL,2,,obl-teams,Ball905 Elite,0.606,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Thunder Bay Wolves,Ontario,OBL,2,,obl-teams,Thunder Bay Jr. Wolves,0.923,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
West Ottawa Hornets,Ontario,OBL,2,,obl-teams,West Ottawa Basketball Association (Hornets),0.566,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
RISING SUNS JAKE,Ontario,OBL,2,,obl-teams,Rising Stars,0.643,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Inter-City Saints Navy,Ontario,OBL,1,,obl-teams,Inter-City Saints,0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Inter-City Saints Gray,Ontario,OBL,1,,obl-teams,Inter-City Saints,0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA- Team Wade,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.583,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Blitz - DeGuzman,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sweet/Morgan,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U10 Boys,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.286,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
North York Appiah/Phillips,Ontario,OBL,1,,obl-teams,North York Aquilas,0.682,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U10B- Elliott,Ontario,OBL,1,,obl-teams,Brampton Minor Basketball (BMBA),0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Ken/Felix,Ontario,OBL,1,,obl-teams,Gators Basketball Academy,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Co-Ed Port Colborne Hornets,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Offord,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.652,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U10B Pelly,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.513,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Marshall,Ontario,OBL,1,,obl-teams,Peterborough City Basketball Club,0.567,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U10B Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Inter-City Saints Gold,Ontario,OBL,1,,obl-teams,Inter-City Saints,0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GYBA Hermann,Ontario,OBL,1,,obl-teams,Guelph Youth Basketball Association,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GYBA Lindsay,Ontario,OBL,1,,obl-teams,Guelph Youth Basketball Association,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U10 Girls,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.414,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals- Rogers,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Guelph Gryphons- Greenidge,Ontario,OBL,1,,obl-teams,Guelph Gryphons Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
