candidate,province,leagues,team_entries,last_verified,source,closest_known_club,closest_score,evidence_url,decision,reviewer,notes
Northside Minor Basketball Association,,Jr. NBA Canada,,2020,jrnba-2019,Northside Youth Basketball Association (Jr Marauders),0.895,https://www.jrnba.ca/the-program/find-your-program,,,
Olds College Broncos MBB,,Jr. NBA Canada,,2019,jrnba-2019,Olds College Jr. NBA Youth Basketball,0.567,https://www.jrnba.ca/the-program/find-your-program,,,
Saskatchewan Youth Basketball,,Jr. NBA Canada,,2019-20,jrnba-2019,SaskHomeCourt Basketball,0.717,https://www.jrnba.ca/the-program/find-your-program,,,
Saskatchewan Youth Basketball,,Jr. NBA Canada,,2019-20,jrnba-2019,SaskHomeCourt Basketball,0.717,https://www.jrnba.ca/the-program/find-your-program,,,
Saskatchewan Youth Basketball,,Jr. NBA Canada,,2019-20,jrnba-2019,SaskHomeCourt Basketball,0.717,https://www.jrnba.ca/the-program/find-your-program,,,
Saskatchewan Youth Basketball,,Jr. NBA Canada,,2019-20,jrnba-2019,SaskHomeCourt Basketball,0.717,https://www.jrnba.ca/the-program/find-your-program,,,
St John Brebeuf School,,Jr. NBA Canada,,2019,jrnba-2019,St. Michael's College School,0.531,https://www.jrnba.ca/the-program/find-your-program,,,
Veronica Brown,,Jr. NBA Canada,,2019,jrnba-2019,Municipality of Powassan,0.421,https://www.jrnba.ca/the-program/find-your-program,,,
Veronica Brown,,Jr. NBA Canada,,2020,jrnba-2019,Municipality of Powassan,0.421,https://www.jrnba.ca/the-program/find-your-program,,,
Victoria Jr. NBA,,Jr. NBA Canada,,2020,jrnba-2019,Victory Prep,0.593,https://www.jrnba.ca/the-program/find-your-program,,,
Western Canada Rush,,Jr. NBA Canada,,2019,jrnba-2019,Western Avalanche Basketball Club,0.538,https://www.jrnba.ca/the-program/find-your-program,,,
Western Canada Rush,,Jr. NBA Canada,,2020,jrnba-2019,Western Avalanche Basketball Club,0.538,https://www.jrnba.ca/the-program/find-your-program,,,
Western Canada Rush,,Jr. NBA Canada,,2020,jrnba-2019,Western Avalanche Basketball Club,0.538,https://www.jrnba.ca/the-program/find-your-program,,,
Western Canada Rush,,Jr. NBA Canada,,2019,jrnba-2019,Western Avalanche Basketball Club,0.538,https://www.jrnba.ca/the-program/find-your-program,,,
YMCA of Medicine Hat,,Jr. NBA Canada,,2019,jrnba-2019,YMCA of Fredericton — Youth Basketball (Jr. NBA),0.667,https://www.jrnba.ca/the-program/find-your-program,,,
YMCA of Medicine Hat,,Jr. NBA Canada,,2020,jrnba-2019,YMCA of Fredericton — Youth Basketball (Jr. NBA),0.667,https://www.jrnba.ca/the-program/find-your-program,,,
