club,league,entry_detail
Cathedral,NPH-D1,D1 Academy*
Crestwood Prep,NPA,NPA
DEl1te,NPH-SL,SL Gr12 DMV
DFA Academy,NPH-SL,SL Gr12 ARETE
Dundas Dynamo,NPH-SL,SL Gr12 DMV
Durham Gators,NPH-SL,SL Gr11 DMV
Eastern Basketball Academy,NPH-SL,SL Gr10 DMV
École St-Gabriel Escadron,NPH-D1,D1 Scholastic
Father Henry Carr,NPH-D1,D1 Scholastic
First Step Elite Gold,NPH-SL,SL Gr9 PRIME
Fitz Youth,NPH-D1,D1 JrB
Fundamentals First,NPH-SL,SL Gr9 PRIME
Future Hope Academy,NPH-D1,D1 JrB
GT Elite,NPH-SL,SL Gr12 ARETE
GYBA Gryphons,NPH-SL,SL Gr11 DMV
Grassroots Niagara,NPH-SL,SL Gr8
Gwillimbury Basketball United,NPH-SL,SL Gr11
HQ Elite,NPH-SL,SL Gr10 GS
Hamilton Elite,NPH-SL,SL Gr10 ARETE
HoopHer,NPH-SL,SL JrGirls
Hooptrotters OGs,NPH-SL,SL Gr10 PRIME
J. Addison Jaguars,NPH-D1,D1 Scholastic
James Cardinal McGuigan,NPH-D1,D1 SrG
K9 Elite White,NPH-SL,SL Gr8
King's Christian Collegiate,WNPA,WNPA
Lead2Greatness,NPH-SL,SL Gr9 ARETE
Mississauga Monarchs,NPH-SL,SL Gr7
Momentum Basketball,NPH-SL,SL Gr9 ARETE
Niagara Prep,WNPA,WNPA
Norwood Stars,NPH-SL,SL Gr9 ARETE
Notre Dame Hounds SK,WNPA,WNPA
Oakville Panthers,NPH-SL,SL Gr9 ARETE
Oakville Vytis,NPH-SL,SL JrGirls*
Orangeville Prep,NPH-SL,WNPA*
Orillia Lakers,NPH-SL,SL Gr10 ARETE
Ottawa Prospects,NPH-SL,SL Gr11 ARETE
Prolific Sports Academy,NPH-D1,D1 Academy
Ridley College,NPA,NPA
Rothesay Netherwood School NB,NPA,NPA
Sacred Heart Montreal,WNPA,WNPA
Southwest Academy,NPH-D1,D1 JrG
Ste Cecile Academy,NPH-D1,D1 Scholastic
TC Soldiers,NPH-SL,SL Gr8
Team CB,NPH-SL,SL Gr11 DMV
The Conglomerate,NPH-SL,SL Gr12 ARETE
Thornhill Thunder,NPH-D1,D1 JrG
Tornades Basketball,NPH-SL,SL Gr11 DMV
Toronto Top Tier East,NPH-SL,SL Gr10 PRIME
Uchenna Academy,NPH-D1,D1 Scholastic
Union Elite,NPH-SL,SL Gr10 GS
Victory Prep,NPH-D1,D1 Academy
West Ottawa,NPH-SL,SL Gr10 ARETE
William Prep,NPH-D1,D1 JrG
YASO Basketball Academy Black,NPH-SL,SL Gr10 ARETE
C.O.D.E. Academy (Provincial + International),OSBA,OSBA Men's
C.O.D.E. Academy (Provincial + International),OSBA,OSBA Women's
C.O.D.E. Academy (Provincial + International),OSBA,Trillium Men's (entry 1)
